BJDONG_NM,CENTER_LONG,CENTER_LATI
,126.9918052066339,37.551902938787826
,126.97732129487213,37.59491731931452
청운동,126.96932389009248,37.58920545163482
신교동,126.96794151918256,37.58450634891726
궁정동,126.9727063196789,37.58469795480878
효자동,126.97195272945544,37.58266755624465
창성동,126.97247438320996,37.58056045161147
통의동,126.97286981564724,37.57807740683369
적선동,126.9737908430541,37.575321285600985
통인동,126.97021938727214,37.580161372443214
누상동,126.96273702005308,37.58039872906021
누하동,126.96828404299777,37.57929005243838
옥인동,126.96341008149724,37.58353853364109
체부동,126.97087303204206,37.57759349965921
필운동,126.9681452560928,37.577299434811856
내자동,126.97174231153431,37.5753136695521
사직동,126.9659572423807,37.57541165584238
도렴동,126.97475892611476,37.573123241366375
당주동,126.97401354941896,37.571588285826834
내수동,126.97197171146104,37.57332521455621
세종로,126.97678924044386,37.58030400665684
신문로1가,126.97392196450544,37.570190180619534
신문로2가,126.96922532735066,37.57086963187709
청진동,126.98017892811112,37.571451088047304
서린동,126.98042066849104,37.569522044831395
수송동,126.9806452826977,37.573698243538665
중학동,126.97967773060424,37.5753129472215
종로1가,126.97971510148156,37.57043337244349
공평동,126.98317833735253,37.57130655139329
관훈동,126.98468251937187,37.57415667865766
견지동,126.98301275014332,37.57352260818102
와룡동,126.99255009481924,37.58171456591497
권농동,126.99167439086214,37.57650587444806
운니동,126.98823885910844,37.57638911544712
익선동,126.98970574024354,37.57434876787947
경운동,126.98642080590284,37.57520167914755
관철동,126.98600436891428,37.56912547510177
인사동,126.98607381515828,37.5717156729493
낙원동,126.98862327282654,37.57257267644361
종로2가,126.98693467403646,37.57045829976956
팔판동,126.9807261207566,37.58279761049114
삼청동,126.98100988457196,37.59075470415767
안국동,126.9836298511597,37.57740018729681
소격동,126.98093437556888,37.57962288348299
화동,126.98273107120544,37.580691508495185
사간동,126.980400324953,37.577262226951376
송현동,126.98187279530626,37.57677743589305
가회동,126.98484153469136,37.58268347207925
재동,126.98528428964964,37.578328531163805
계동,126.9869298037264,37.582351846324634
원서동,126.98826331318952,37.58392421013851
훈정동,126.9941960278526,37.574384332564186
묘동,126.99174265039892,37.57243596374251
봉익동,126.99299803628332,37.57219469612485
돈의동,126.99074167977776,37.571981862919145
장사동,126.99404398196442,37.56923760202097
관수동,126.99047530198672,37.569076539627034
종로3가,126.9923533872502,37.5704084791026
인의동,126.99769255741964,37.57234351946251
예지동,126.99830829527902,37.56963702719009
원남동,126.99753716498913,37.57556172876005
연지동,127.00016842135202,37.57375254490844
종로4가,126.99795319615286,37.5706720170361
효제동,127.00308823124072,37.573050002580544
종로5가,127.0035339497852,37.57061741498848
종로6가,127.00768521364444,37.57194721575769
이화동,127.00563300102678,37.5772404917289
연건동,126.99969439117476,37.57870344083053
충신동,127.00596199280643,37.57495880238612
동숭동,127.00487909862032,37.581403921847574
혜화동,127.00175479474866,37.58781302311143
명륜1가,126.99748755409696,37.58911429431966
명륜2가,126.99904129388828,37.58470007701993
명륜4가,126.9998816334622,37.58223245425522
명륜3가,126.99314729461652,37.58822121021423
창신동,127.0124485787116,37.57540762160564
숭인동,127.01894561605954,37.575574096780194
교남동,126.96446849867588,37.568547713531146
평동,126.96686100341648,37.567916344217714
송월동,126.96521818465654,37.5700804958256
홍파동,126.9639856866014,37.57115083713443
교북동,126.96145761746558,37.57153891930704
행촌동,126.96262743980544,37.57368012492684
구기동,126.95927536040698,37.619378239513765
평창동,126.9745007230845,37.61302930533325
부암동,126.96559042130346,37.59476324556175
홍지동,126.9564818138634,37.60085595551893
신영동,126.96183780823505,37.60252000546712
무악동,126.95858144626158,37.57710995668271
,126.99596813970754,37.56014356455128
무교동,126.97900918698292,37.56815708117612
다동,126.98118625301407,37.56790939566287
태평로1가,126.9772465321538,37.56773133006931
을지로1가,126.98054032657824,37.56599854357898
을지로2가,126.98593010233736,37.565884296425935
남대문로1가,126.98286040049202,37.56757978088316
삼각동,126.98424757931524,37.568097469121454
수하동,126.98464042485972,37.56728481952557
장교동,126.98698484927397,37.56744983402337
수표동,126.98951547600312,37.56746731905914
소공동,126.98006471745654,37.56407543993922
남창동,126.9776216378925,37.55807987885562
북창동,126.9782045649574,37.56245260083161
태평로2가,126.97636348715682,37.56298803447264
남대문로2가,126.98211804043018,37.56395496893697
남대문로3가,126.97959161637786,37.56170045546516
남대문로4가,126.97569996292503,37.56060500514221
남대문로5가,126.97531145977176,37.55610012833445
봉래동1가,126.97277252785354,37.55909998589426
봉래동2가,126.97098712917496,37.55655630475127
회현동1가,126.98151449399457,37.556510312046015
회현동2가,126.98293416442716,37.55876257669636
회현동3가,126.98407707211707,37.56016837665135
충무로1가,126.98251818079632,37.56117000203548
충무로2가,126.9877968348956,37.561728562778875
명동1가,126.98466250889662,37.56430295918182
명동2가,126.98525403339023,37.56290324543975
남산동1가,126.98459765504408,37.55934758943794
남산동2가,126.985787581769,37.558591578754445
남산동3가,126.98741755092406,37.56015396874177
저동1가,126.98780508174228,37.56442966227839
충무로4가,126.99583929028644,37.56232924838506
충무로5가,126.99964157485054,37.56284331633646
인현동2가,126.99614638955858,37.564204227396466
예관동,126.99820834602252,37.56425405455549
묵정동,127.00056275311572,37.5613464731871
필동1가,126.99246659177751,37.56108823144696
필동2가,126.9947217345554,37.55877226962126
필동3가,126.99702176604552,37.55851623655044
남학동,126.99082904582552,37.56057518337917
주자동,126.98940305088112,37.56065988575628
예장동,126.9901170625273,37.555221644384424
장충동1가,127.00758681225786,37.560980126965134
장충동2가,127.00058989169148,37.554994794730405
광희동1가,127.0053242703201,37.56502343499378
광희동2가,127.00842825446492,37.56394529900414
쌍림동,127.004242596513,37.563529241584455
을지로6가,127.00688418736875,37.5677831215302
을지로7가,127.00962405171283,37.566288252807226
을지로4가,126.9977535581879,37.56644225770175
을지로5가,127.00235464976784,37.5667253556209
주교동,126.99937632376808,37.56826954658496
방산동,127.00298025356024,37.568727035724464
오장동,127.00088563755392,37.564735078292706
을지로3가,126.992208196502,37.56632624234528
입정동,126.99292045425275,37.56781784022348
산림동,126.99593899056656,37.56767655498032
충무로3가,126.99174564221316,37.562386828967774
초동,126.99222437755952,37.56442600192637
인현동1가,126.9943101422223,37.56458804305928
저동2가,126.98979326804648,37.56423968651399
신당동,127.01366961097342,37.55791053163123
흥인동,127.01638059369752,37.567310991785895
무학동,127.01528728186902,37.56437424746378
황학동,127.02083852573874,37.56854521188203
서소문동,126.97391935295236,37.563141897625194
정동,126.9731461225542,37.56661111187396
순화동,126.9707134148953,37.56257323538433
의주로1가,126.96847609718029,37.56411650642326
충정로1가,126.96827865689522,37.56652616304109
중림동,126.96633643082674,37.558836213000575
의주로2가,126.9696216093826,37.56073659256792
만리동1가,126.96731339486176,37.556165631539976
만리동2가,126.96396396704506,37.55462681117043
,126.9799069882358,37.531384965881514
후암동,126.980622771398,37.54990199731986
용산동2가,126.98501900875516,37.54288619825783
용산동4가,126.98518229587842,37.53053631751385
갈월동,126.97236574614853,37.54540641157512
남영동,126.97336209775143,37.54286180029602
용산동1가,126.97702744969692,37.54001204804139
동자동,126.97243131123344,37.552071769984664
서계동,126.9667991722266,37.55216608069694
청파동1가,126.96746849694227,37.548792041386974
청파동2가,126.9662426092252,37.54600826479549
청파동3가,126.96711162093077,37.543255901769236
원효로1가,126.96744687217809,37.53998055515266
원효로2가,126.96333967525436,37.53629745084032
신창동,126.95497810633758,37.53577367952522
산천동,126.95143524922042,37.5354857944641
청암동,126.94666807322498,37.53450124423858
원효로3가,126.95765932564396,37.534327056229394
원효로4가,126.95071627640822,37.53255077429333
효창동,126.96097111390652,37.542824394635765
도원동,126.9560421739536,37.53872763678531
용문동,126.95969085130466,37.53765917878438
문배동,126.9694198364088,37.53710868655467
신계동,126.9657739336505,37.535180512645795
한강로1가,126.97302173220744,37.536077500492596
한강로2가,126.96859828583578,37.531541330889866
용산동3가,126.97693901496264,37.531861501875866
용산동5가,126.97457512568054,37.52614745798717
한강로3가,126.96219181979669,37.52766829781342
이촌동,126.96653207983836,37.51745298057991
이태원동,126.9925227651108,37.53851001601468
한남동,127.00517887965913,37.537542548151926
동빙고동,126.99514525873006,37.524461611559005
서빙고동,126.99131142792916,37.51862166444776
주성동,126.9998219138566,37.52130228006352
용산동6가,126.98482356265691,37.51864049142044
보광동,127.00093636641196,37.526871808980935
,127.04105853332118,37.55102968913442
상왕십리동,127.02481825230034,37.568457038985166
하왕십리동,127.0280249710694,37.56398726679418
홍익동,127.03234853205322,37.56649089343599
도선동,127.03355005061894,37.56381115501381
마장동,127.04074278864152,37.567364209303
사근동,127.04760047694192,37.55890772349832
행당동,127.03598863989598,37.55762723715426
응봉동,127.03380803625718,37.550887159014245
금호동1가,127.0249946141967,37.55356062877322
금호동2가,127.02041492867168,37.55303985493152
금호동3가,127.01955708315214,37.549892457775286
금호동4가,127.024301485942,37.545465930717256
옥수동,127.02058997393202,37.540887663500186
성수동1가,127.04282053255558,37.54361013482139
성수동2가,127.0566360208888,37.5406864075005
송정동,127.0620787208393,37.553179752690966
용답동,127.0563597635983,37.56146709144105
,127.08574409768116,37.546720237931474
중곡동,127.08878691844792,37.56353618720835
능동,127.0817381550733,37.55057936342495
구의동,127.09284919894276,37.54440944937811
광장동,127.1047097030555,37.547832780011206
자양동,127.07452453170116,37.53169649781548
화양동,127.0732226948858,37.54323211080179
군자동,127.07367190751611,37.55303731783956
,127.05484812780756,37.58195654789304
신설동,127.02556085245747,37.5749436956359
용두동,127.03429171485794,37.57572086231629
제기동,127.03724055033032,37.583775030771534
전농동,127.05570536405564,37.57974743326816
답십리동,127.05669876347422,37.57101949114032
장안동,127.07002444607362,37.57020694782509
청량리동,127.045288768553,37.5887959287965
회기동,127.05145341917289,37.59373569617633
휘경동,127.06452154066405,37.58821353212453
이문동,127.0632499833876,37.59946110520826
,127.09288317629846,37.59781737992498
면목동,127.08921892289165,37.58237609941504
상봉동,127.08712030165584,37.59847694715502
중화동,127.07814676117592,37.6005014515641
묵동,127.07974156439344,37.612713124313935
망우동,127.10632857277436,37.599587276102184
신내동,127.10080876635266,37.61260284187596
,127.01757949116804,37.605701902396824
성북동,126.99291261828093,37.597245010994975
성북동1가,127.00370311178123,37.58952568653537
돈암동,127.0182784560044,37.59779444774695
동소문동1가,127.00726437124564,37.590039325998234
동소문동2가,127.00826467260065,37.58872066003147
동소문동3가,127.01125343777233,37.59038714897721
동소문동4가,127.01065603977528,37.59175708071464
동소문동5가,127.01538660608534,37.59163936087722
동소문동6가,127.01425561708612,37.59353155201267
동소문동7가,127.01419803536376,37.59632605151137
삼선동1가,127.0078933542153,37.5849131322796
삼선동2가,127.01137580783735,37.58387954805537
삼선동3가,127.01306627243676,37.586543216665405
삼선동4가,127.01316770762286,37.5900247762906
